(Brazzaville) ;;Country;Subject Descriptor;Units;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Sierra ;Rwanda;Haiti;Gross domestic product, constant prices;Percent change;7,345;1,056;-2,797;-1,5;0,201;0,757;0,273;-0,432;0,559;-1,131;-0,44;1,262;-2,251;-4,922;-11,603;9,892;4,143;2,705;2,182;2,71;0,87;-1,044;-0,251;0,364;-3,523;1,805;2,249;3,343;0,844;3,083;-5,498;5,524;2,885;4,248;2,75;2,5;3,249;3,751;3,748;3,751;3,501
Slovakia Syria ;Samoa;Haiti;Population;Persons;5,948;6,056;6,165;6,275;6,388;6,504;6,621;6,741;6,821;6,96;7,103;7,234;7,376;7,528;7,691;7,838;7,987;8,136;8,286;8,433;8,578;8,72;8,86;8,996;9,13;9,261;9,389;9,514;9,638;9,765;9,896;10,033;10,174;10,317;10,461;10,604;10,744;10,882;11,019;11,154;11,288
Solomon ;San Marino;Honduras;Gross domestic product, constant prices;Percent change;0,668;2,533;-1,391;-0,924;4,346;4,188;0,723;6,031;4,61;4,326;0,097;3,252;5,624;6,23;-1,303;4,08;3,578;4,994;2,902;-1,89;7,291;2,723;3,754;4,547;6,232;6,051;6,567;6,188;4,232;-2,432;3,731;3,836;4,129;2,792;3,085;3,5;3,6;3,7;3,8;4;4
Somalia ;São Tomé and Príncipe;Honduras;Population;Persons;3,635;3,751;3,867;3,987;4,111;4,238;4,365;4,496;4,631;4,765;4,904;5,042;5,181;5,32;5,457;5,592;5,724;5,853;5,98;6,107;6,236;6,365;6,496;6,628;6,762;6,899;7,037;7,178;7,322;7,47;7,621;7,777;7,936;8,098;8,264;8,433;8,606;8,782;8,962;9,145;9,332
Somaliland ;Saudi Arabia;Hong Kong SAR;Gross domestic product, constant prices;Percent change;10,34;9,193;2,887;6,014;10,002;0,715;11,104;13,395;8,512;2,277;3,83;5,702;6,235;6,201;6,036;2,374;4,258;5,1;-5,883;2,507;7,663;0,561;1,657;3,056;8,7;7,388;7,033;6,465;2,128;-2,459;6,768;4,815;1,7;3,072;2,501;2,521;2,687;2,755;2,875;3,121;3,291
South Africa ;Senegal;Hong Kong SAR;Population;Persons;5,096;5,217;5,297;5,388;5,469;5,539;5,605;5,637;5,712;5,767;5,793;5,856;5,929;6,04;6,162;6,314;6,467;6,517;6,583;6,638;6,712;6,73;6,726;6,764;6,798;6,838;6,904;6,938;6,964;6,996;7,052;7,112;7,178;7,222;7,267;7,311;7,357;7,402;7,448;7,494;7,541
Spain ;Serbia;Hungary;Gross domestic product, constant prices;Percent change;0,215;2,867;2,841;0,723;2,658;-0,253;1,535;4,051;-0,065;0,736;-3,497;-11,892;-3,064;-0,576;2,947;2,541;0,034;3,372;4,208;3,238;4,24;3,735;4,491;3,778;4,789;4,26;3,963;0,511;0,879;-6,551;0,789;1,807;-1,478;1,525;3,575;3;2,5;2,3;2,1;2,1;2,1
Sri Lanka ;Seychelles;Hungary;Population;Persons;10,71;10,706;10,695;10,672;10,641;10,599;10,56;10,509;10,464;10,422;10,375;10,373;10,374;10,365;10,35;10,337;10,321;10,301;10,28;10,253;10,222;10,2;10,175;10,142;10,117;10,098;10,077;10,066;10,045;10,031;10,014;9,986;9,932;9,909;9,877;9,857;9,838;9,818;9,798;9,779;9,759
Sudan ;Sierra Leone;Iceland;Gross domestic product, constant prices;Percent change;5,738;4,265;2,154;-2,151;4,129;3,293;6,27;8,546;-0,09;0,258;1,169;-0,224;-3,374;1,313;3,609;0,117;4,785;4,564;6,515;4,163;4,724;3,763;0,453;2,742;8,22;5,96;4,206;9,493;1,479;-4,681;-3,589;1,988;1,183;3,896;1,827;4,806;3,742;3,018;2,879;2,634;2,37
Sudan S. ;Singapore;Iceland;Population;Persons;0,227;0,229;0,232;0,236;0,238;0,241;0,242;0,244;0,248;0,252;0,254;0,256;0,26;0,262;0,265;0,267;0,268;0,27;0,272;0,276;0,279;0,283;0,287;0,288;0,291;0,294;0,3;0,308;0,315;0,319;0,318;0,318;0,32;0,322;0,326;0,328;0,331;0,334;0,337;0,34;0,342
Suriname ;Slovak Republic;India;Gross domestic product, constant prices;Percent change;5,281;6,006;3,476;7,289;3,821;5,254;4,777;3,965;9,628;5,947;5,534;1,057;5,482;4,75;6,659;7,575;7,55;4,05;6,184;8,463;3,975;4,944;3,907;7,944;7,849;9,285;9,264;9,801;3,891;8,48;10,26;6,638;5,081;6,899;7,286;7,259;7,455;7,541;7,646;7,695;7,743
Swaziland ;Slovenia;India;Population;Persons;685,688;699,938;715,563;731;747;763,063;779,5;796,5;813,5;830,5;847,438;864,25;881,875;901;919;937;955,063;973,438;992;1010,188;1029,188;1048;1064,063;1080,5;1097,438;1114;1130;1146;1162;1178;1195,063;1217,438;1243;1259,353;1275,921;1292,707;1309,713;1326,944;1344,401;1362,087;1380,007
Sweden ;Solomon Islands;Indonesia;Gross domestic product, constant prices;Percent change;9,88;7,604;2,246;4,193;7,574;3,906;7,189;6,572;6,979;9,085;9,002;8,928;6,523;7,956;7,54;8,22;7,818;4,7;-13,127;0,791;4,979;3,643;4,499;4,78;5,031;5,693;5,501;6,345;7,442;4,702;6,378;6,17;6,03;5,579;5,025;4,66;5,1;5,5;5,8;6;6
Switzerland ;South Africa;Indonesia;Population;Persons;147,49;150,406;153,379;156,41;159,502;162,655;165,87;169,149;172,492;175,902;179,379;182,354;185,378;188,452;191,578;194,755;197,004;199,28;201,581;203,909;206,265;209,206;212,19;215,216;218,285;221,398;224,555;227,758;231,006;234,3;237,641;241,991;245,425;248,818;252,165;255,462;258,802;262,185;265,613;269,086;272,604
Taiwan ;South Sudan;Islamic Republic of Iran;Gross domestic product, constant prices;Percent change;-14,927;7,888;14,403;10,297;3,326;4,192;-9,346;-2,183;-14,06;6,201;19,61;12,716;3,298;-1,471;-1,698;2,401;6,351;1,35;2,08;2,003;5,846;2,392;8,079;8,639;4,337;4,209;5,704;9,116;0,924;2,315;6,577;3,75;-6,609;-1,912;4,343;0,827;4,36;3,99;4,165;4,384;4,383
Tajikistan ;Spain;Islamic Republic of Iran;Population;Persons;38,35;40,85;42,48;44,18;45,96;47,82;49,44;50,66;51,91;53,19;54,5;55,84;61,56;61;61,891;64,1;62,509;60,929;61,842;62,817;63,862;64,584;65,657;67,315;68,345;69,39;70,496;71,278;72,18;73,201;74,339;75,15;76;76,978;77,8;78,631;79,47;80,319;81,177;82,044;82,92
Tanzania ;Sri Lanka;Iraq;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,675;5,638;1,889;8,228;3,379;6,403;7,546;13,936;6,572;-2,118;0,026;7,051;8,109;7,603;7,529;7,149
Thailand ;St. Kitts and Nevis;Iraq;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;26,674;27,377;28,064;28,741;29,43;30,163;30,962;31,76;32,578;33,417;34,278;35,161;36,067;36,996;37,949;38,927;39,93
Togo;St. Lucia;Ireland;Gross domestic product, constant prices;Percent change;2,898;2,512;1,495;-0,729;3,204;1,947;0,424;3,641;2,998;5,614;7,711;1,642;3,579;2,314;5,894;9,593;9,269;11,178;8,913;10,762;10,229;5,833;5,937;3,842;4,405;6,334;6,309;5,543;-2,162;-5,638;0,399;2,588;0,151;1,434;5,199;4,846;3,826;3,19;2,977;2,733;2,538
Trinidad and Tobago;St. Vincent and the Grenadines;Ireland;Population;Persons;3,401;3,443;3,48;3,504;3,529;3,54;3,541;3,547;3,531;3,51;3,506;3,526;3,555;3,574;3,586;3,601;3,626;3,664;3,703;3,742;3,79;3,847;3,917;3,98;4,045;4,134;4,233;4,376;4,485;4,533;4,555;4,575;4,585;4,593;4,61;4,649;4,688;4,727;4,767;4,808;4,848
Tunisia ;Sudan;Israel;Gross domestic product, constant prices;Percent change;3,568;4,723;1,424;2,586;2,21;4,451;3,551;7,49;3,564;1,419;6,633;4,618;7,155;3,771;7,011;9,654;6,157;4,082;4,252;3,737;8,942;0,242;-0,068;1,177;5,114;4,39;5,802;6,135;3,059;1,269;5,517;5,03;2,88;3,251;2,554;2,538;3,265;3,205;2,96;2,864;2,871
Turkey ;Suriname;Israel;Population;Persons;3,92;3,948;4,018;4,104;4,157;4,231;4,296;4,366;4,439;4,516;4,658;4,946;5,124;5,259;5,395;5,542;5,682;5,824;5,967;6,117;6,286;6,436;6,567;6,687;6,806;6,927;7,052;7,176;7,307;7,482;7,621;7,763;7,907;8,056;8,212;8,371;8,522;8,667;8,805;8,946;9,089
Turkmenistan ;Swaziland;Italy;Gross domestic product, constant prices;Percent change;3,43;0,844;0,414;1,169;3,226;2,798;2,86;3,192;4,194;3,388;2,053;1,534;0,773;-0,888;2,152;2,337;1,287;1,836;1,617;1,561;3,71;1,773;0,251;0,153;1,583;0,95;2,006;1,474;-1,05;-5,481;1,711;0,587;-2,77;-1,698;-0,426;0,802;1,283;1,151;1,1;1,05;1
Uganda ;Sweden;Italy;Population;Persons;56,388;56,479;56,524;56,563;56,565;56,588;56,598;56,594;56,609;56,649;56,694;56,744;56,773;56,821;56,842;56,844;56,844;56,876;56,904;56,909;56,924;56,961;56,988;57,131;57,496;57,875;58,064;58,224;58,653;59,001;59,19;59,365;59,394;59,685;60,783;60,945;61,151;61,353;61,555;61,757;61,961
Ukraine ;Switzerland;Jamaica;Gross domestic product, constant prices;Percent change;-4,041;4,42;3,08;4,153;0,95;-0,9;7;7,7;-3,993;4,7;4,875;0,834;2,778;2,211;1,875;2,521;0,236;-1,641;-1,21;0,981;0,776;1,281;0,675;3,666;1,324;0,894;2,899;1,444;-0,819;-3,41;-1,454;1,424;-0,519;0,195;0,366;1,092;2,075;2,45;2,65;2,7;2,7
United Arab Emirates ;Syria;Jamaica;Population;Persons;2,112;2,15;2,186;2,23;2,235;2,269;2,29;2,306;2,32;2,324;2,365;2,381;2,399;2,419;2,44;2,462;2,485;2,509;2,534;2,559;2,582;2,605;2,627;2,647;2,666;2,682;2,696;2,708;2,719;2,73;2,741;2,755;2,769;2,784;2,799;2,814;2,829;2,844;2,86;2,875;2,891
United Kingdom;Taiwan Province of China;Japan;Gross domestic product, constant prices;Percent change;3,181;4,177;3,377;3,061;4,464;6,333;2,831;4,107;7,147;5,37;5,572;3,324;0,819;0,171;0,864;1,942;2,61;1,596;-2,003;-0,199;2,257;0,355;0,29;1,685;2,361;1,303;1,693;2,192;-1,042;-5,527;4,711;-0,454;1,742;1,588;-0,101;0,591;1,005;0,445;0,664;0,914;0,716
United States ;Tajikistan;Japan;Population;Persons;116,72;117,586;118,418;119,233;120,016;120,77;121,431;122,022;122,555;123,032;123,459;123,917;124,392;124,799;125,142;125,456;125,751;126,045;126,354;126,594;126,829;127,17;127,422;127,616;127,752;127,775;127,851;127,983;128,065;128,051;128,048;127,896;127,611;127,341;127,061;126,729;126,345;125,909;125,424;124,894;124,348
Uruguay ;Tanzania;Jordan;Gross domestic product, constant prices;Percent change;11,173;17,183;7,026;-2,213;4,285;-2,703;5,504;2,325;1,461;-10,734;-0,28;1,62;14,351;4,485;4,979;6,189;2,075;3,322;3,012;3,382;4,252;5,269;5,786;4,18;8,559;8,136;8,093;8,176;7,232;5,477;2,311;2,587;2,651;2,829;3,096;2,851;3,749;4,5;4,5;4,5;4,5
Uzbekistan ;Thailand;Jordan;Population;Persons;2,233;2,319;2,409;2,502;2,599;2,7;2,805;2,914;3,027;3,144;3,468;3,701;3,844;3,993;4,139;4,264;4,383;4,506;4,623;4,738;4,857;4,978;5,098;5,23;5,35;5,473;5,6;5,723;5,85;5,98;6,113;6,249;6,388;6,53;6,675;6,824;6,976;7,131;7,289;7,451;7,617
Vanuatu ;Timor-Leste;Kazakhstan;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-9,2;-12,58;-8,2;0,5;1,7;-1,9;2,7;9,8;13,5;9,8;9,3;9,6;9,7;10,7;8,9;3,3;1,2;7,3;7,5;5;6;4,3;1,501;2,355;3,798;4;4,195;4,513
Venezuela ;Togo;Kazakhstan;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;17,048;16,9;15,8;15,676;15,481;15,188;14,955;14,902;14,866;14,851;14,867;14,951;15,075;15,219;15,395;15,566;15,778;16,198;16,434;16,674;16,912;17,165;17,422;17,683;17,947;18,216;18,488;18,765;19,046
Vietnam ;Tonga;Kenya;Gross domestic product, constant prices;Percent change;5,572;4,1;5,052;1,593;1,6;4,073;6,982;5,811;6,091;4,554;4,134;1,339;-1,08;-0,095;2,531;4,287;4,148;0,411;2,983;2,199;0,347;3,979;0,481;2,949;4,635;5,665;5,854;6,851;0,232;3,307;8,402;6,112;4,555;5,687;5,328;6,5;6,8;7;7;6,981;6,877
W. Sahara ;Trinidad and Tobago;Kenya;Population;Persons;15,74;16,327;16,92;17,498;18,095;18,712;19,351;20,011;20,694;21,4;22,037;22,694;23,37;24,066;24,783;25,521;26,281;27,064;27,87;28,7;29,494;30,309;31,147;32,009;32,894;33,803;34,738;35,698;36,686;37,7;38,5;39,5;40,7;41,8;42,927;44,076;45,247;46,441;47,656;48,893;50,153
West Bank ;Tunisia;Kiribati;Gross domestic product, constant prices;Percent change;n/a;-3,483;6,791;-0,713;5,024;-6,606;-1,22;-9,125;9,1;-2,437;4,13;-2,59;0,187;0,58;1,316;-0,641;3,009;2,358;7,262;-2,758;5,303;0,703;0,293;4,209;-1,714;4,956;-1,583;2,231;-0,767;0,288;-0,942;-0,245;3,361;2,389;3,743;3,134;1,845;2,091;2,149;1,425;1,485
Yemen ;Turkey;Kiribati;Population;Persons;0,06;0,06;0,06;0,062;0,063;0,064;0,065;0,067;0,068;0,07;0,072;0,073;0,074;0,075;0,077;0,078;0,079;0,08;0,082;0,083;0,084;0,086;0,088;0,089;0,091;0,093;0,095;0,097;0,099;0,101;0,103;0,105;0,107;0,109;0,112;0,114;0,116;0,118;0,121;0,123;0,126
Zambia ;Turkmenistan;Korea;Gross domestic product, constant prices;Percent change;-1,701;7,181;8,265;13,242;10,443;7,75;11,224;12,467;11,905;7,03;9,811;10,354;6,175;6,847;9,206;9,571;7,595;5,922;-5,471;11,309;8,924;4,525;7,432;2,933;4,9;3,924;5,176;5,463;2,829;0,708;6,497;3,682;2,292;2,896;3,31;2,661;3,158;3,594;3,575;3,583;3,57
Zimbabwe ;Tuvalu;Korea;Population;Persons;38,124;38,723;39,326;39,91;40,406;40,806;41,214;41,622;42,031;42,449;42,869;43,296;43,748;44,195;44,642;45,093;45,525;45,954;46,287;46,617;47,008;47,357;47,622;47,859;48,039;48,138;48,372;48,598;48,949;49,182;49,41;49,779;50,004;50,22;50,424;50,629;50,835;51,042;51,249;51,458;51,667
;Ukraine;Kosovo;Population;Persons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;United Arab Emirates;Kuwait;Gross domestic product, constant prices;Percent change;-20,364;-18,921;-9,504;5,253;5,24;-4,258;8,565;8,142;-10,05;25,896;-26,229;-41,008;82,809;35,132;8,616;1,669;0,598;2,493;3,654;-1,789;4,691;0,209;3,014;17,337;10,762;10,076;7,52;5,992;2,48;-7,076;-2,371;10,606;7,666;0,818;0,136;1,174;2,519;2,72;2,724;2,932;2,939
;United Kingdom;Kuwait;Population;Persons;1,37;1,432;1,497;1,566;1,6;1,7;1,8;1,9;2;2,1;2,13;1,36;1,42;1,46;1,5;1,576;1,7;2,209;2,271;2,255;2,217;2,309;2,42;2,547;2,754;2,991;3,183;3,4;3,442;3,485;3,582;3,682;3,785;3,89;3,999;4,11;4,225;4,342;4,463;4,588;4,716
;United States;Kyrgyz Republic;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-13,005;-19,807;-5,751;7,084;9,9;2,1;3,7;5,398;5,3;-0,022;7;7,027;-0,16;3,1;8,543;7,566;2,9;-0,472;5,956;-0,9;10,534;3,603;1,996;3,636;4,606;4,855;5,222;5,3
;Uruguay;Kyrgyz Republic;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;4,43;4,505;4,525;4,596;4,661;4,732;4,806;4,875;4,922;4,968;5,013;5,073;5,136;5,189;5,248;5,289;5,348;5,418;5,478;5,552;5,663;5,777;5,895;5,976;6,059;6,143;6,228;6,315;6,402
;Uzbekistan;Lao P.D.R.;Gross domestic product, constant prices;Percent change;10,004;15,332;4,715;3;6,438;9,122;4,829;-0,96;-2,1;9,893;6,686;3,999;6,999;5,867;8,16;7,045;6,892;6,907;4,38;4,135;6,324;4,623;6,865;6,21;7,021;6,767;8,645;7,843;7,785;7,502;8,131;8,04;7,898;7,968;7,424;7,538;7,955;7,488;7,206;7,371;7,357
;Vanuatu;Lao P.D.R.;Population;Persons;3,238;3,3;3,376;3,463;3,557;3,655;3,758;3,865;3,976;4,09;4,245;4,37;4,498;4,626;4,751;4,871;4,987;5,097;5,201;5,298;5,388;5,47;5,545;5,619;5,699;5,791;5,896;6,013;6,139;6,268;6,396;6,521;6,646;6,77;6,898;7,029;7,163;7,299;7,438;7,579;7,723
;Venezuela;Latvia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-11,4;2,2;-2,084;2,52;8,783;6,281;2,16;5,349;7,153;7,189;8,631;8,916;10,172;11,621;9,793;-3,175;-14,186;-2,874;4,997;4,834;4,226;2,362;2,16;3,324;3,732;3,887;3,936;4,012
;Vietnam;Latvia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2,677;2,669;2,627;2,501;2,47;2,445;2,421;2,399;2,382;2,353;2,321;2,299;2,277;2,25;2,228;2,209;2,192;2,163;2,121;2,075;2,045;2,039;2,033;2,026;2,02;2,014;2,008;2,002;1,996
;Yemen;Lebanon;Gross domestic product, constant prices;Percent change;1,467;0,55;-36,789;22,71;44,479;24,3;-6,773;16,729;-28,209;-42,195;-13,421;38,2;4,495;7;8,03;6,493;4,038;10,19;3,9;-0,8;1,1;3,9;3,4;1,7;5,056;2,7;1,6;9,4;9,1;10,3;8;0,9;2,8;2,5;2;2;2,5;3;3;4;4
;Zambia;Lebanon;Population;Persons;2,55;2,531;2,521;2,521;2,521;2,55;2,588;2,617;2,645;2,674;2,703;2,752;2,822;2,901;2,975;3,033;3,071;3,093;3,114;3,157;3,235;3,358;3,516;3,69;3,854;3,987;4,08;4,14;4,186;4,247;4,341;4,383;4,425;4,467;4,51;4,554;4,597;4,642;4,686;4,731;4,777
;Zimbabwe;Lesotho;Gross domestic product, constant prices;Percent change;-0,825;3,079;5,556;2,98;4,329;3,309;4,072;2,14;7,738;5,52;5,191;4,767;6,222;3,847;4,475;2,814;4,921;3,482;1,404;1,59;4,904;3,276;1,576;4,071;2,398;3,112;4,417;4,993;5,115;4,519;6,878;4,52;5,282;3,576;3,448;2,609;2,931;4,539;5,467;3,607;3,564
;;Lesotho;Population;Persons;1,267;1,301;1,334;1,368;1,343;1,375;1,409;1,475;1,515;1,559;1,603;1,625;1,689;1,73;1,767;1,857;1,842;1,847;1,851;1,856;1,861;1,865;1,87;1,875;1,879;1,884;1,873;1,877;1,882;1,887;1,892;1,896;1,901;1,906;1,911;1,916;1,92;1,925;1,93;1,935;1,94
;;Liberia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2,821;4,348;-28,18;3,875;5,694;8,234;12,723;5,967;5,085;6,088;7,431;8,245;8,659;0,691;0,874;5,625;6,743;7,371;7,243;7,632
;;Liberia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2,704;2,909;3,065;3,161;3,206;3,222;3,241;3,283;3,385;3,431;3,477;3,624;3,778;3,876;3,977;4,081;4,187;4,296;4,399;4,505;4,613;4,724;4,838
;;Libya;Gross domestic product, constant prices;Percent change;0,606;-20,04;1,518;-4,709;-8,306;0,607;-11,353;-14,702;7,579;7,199;3,72;15,655;-2,712;-3,763;1,935;-12,397;2,633;-0,607;-0,377;0,462;3,681;-1,764;-0,959;13,016;4,461;11,87;6,5;6,354;2,666;-0,79;5,023;-62,076;104,483;-13,552;-24,031;-6,092;1,972;5,984;8,499;9,281;13,517
;;Libya;Population;Persons;2,988;3,126;3,273;3,411;3,558;3,539;3,676;3,834;4,325;4,522;4,26;4,36;4,46;4,56;4,65;4,75;4,84;4,92;5,01;5,09;5,18;5,26;5,34;5,42;5,51;5,59;5,69;5,78;5,88;5,96;6,041;5,923;6,004;6,086;6,168;6,252;6,337;6,424;6,511;6,6;6,689
;;Lithuania;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5,239;8,14;7,623;-1,021;3,621;6,7;6,838;10,276;7,369;7,791;7,406;11,087;2,628;-14,814;1,619;6,115;3,838;3,257;2,95;1,766;2,628;3,022;3,314;3,45;3,588
;;Lithuania;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3,429;3,405;3,388;3,376;3,361;3,343;3,323;3,27;3,231;3,198;3,163;3,097;3,028;2,988;2,958;2,932;2,918;2,903;2,889;2,875;2,861;2,846
;;Luxembourg;Gross domestic product, constant prices;Percent change;3,17;0,798;1,039;1,887;4,73;5,596;9,983;3,951;8,464;9,798;5,32;8,645;1,819;4,201;3,821;1,432;1,515;5,937;6,492;8,421;8,442;2,153;3,621;1,398;4,411;3,216;5,11;8,396;-0,843;-5,378;5,678;2,601;-0,719;4,43;5,589;4,388;3,374;3,185;3,034;3,034;3,034
;;Luxembourg;Population;Persons;0,364;0,365;0,366;0,366;0,366;0,367;0,368;0,371;0,374;0,378;0,382;0,387;0,392;0,398;0,404;0,406;0,412;0,417;0,422;0,427;0,434;0,44;0,444;0,448;0,455;0,461;0,469;0,476;0,484;0,494;0,502;0,512;0,525;0,537;0,55;0,561;0,574;0,587;0,6;0,613;0,627
;;FYR Macedonia;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-7,5;-1,8;-1,1;1,2;1,351;3,381;4,348;4,539;-3,067;1,494;2,223;4,674;4,724;5,137;6,473;5,472;-0,359;3,359;2,34;-0,456;2,665;3,768;3,2;3,2;3,3;3,4;3,6;3,8
;;FYR Macedonia;Population;Persons;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,933;1,942;1,952;1,963;1,977;1,983;1,993;2,002;2,01;2,016;2,022;2,026;2,033;2,037;2,042;2,045;2,049;2,053;2,057;2,06;2,062;2,066;2,069;2,073;2,076;2,08;2,083;2,087;2,09
;;Madagascar;Gross domestic product, constant prices;Percent change;0,788;-9,8;-1,9;0,9;1,76;1,156;1,96;1,175;3,407;4,075;3,129;-6,306;1,181;2,1;-0,042;1,679;2,154;3,693;3,917;4,699;4,457;5,98;-12,408;9,785;5,257;4,756;5,399;6,42;7,207;-4,726;0,263;1,455;3,027;2,264;3,316;3,401;4,602;4,504;4,503;4,5;5
;;Madagascar;Population;Persons;8,747;8,983;9,221;9,462;9,714;9,981;10,264;10,563;10,878;11,206;11,546;11,898;12,264;12,644;13,04;13,453;13,883;14,329;14,79;15,263;15,745;16,236;16,736;17,245;17,763;18,29;18,826;19,371;19,927;20,496;21,08;21,679;22,294;22,925;23,572;24,235;24,915;25,612;26,325;27,054;27,798
;;Malawi;Gross domestic product, constant prices;Percent change;0,395;-5,245;2,516;3,694;5,373;4,571;-0,215;1,625;3,177;1,345;5,692;8,73;-7,333;9,692;-10,313;13,83;9,979;6,587;1,061;3,541;0,775;-4,076;1,76;5,706;5,42;3,269;4,7;9,6;7,64;8,328;6,874;4,854;1,886;5,2;5,7;3,978;5;5,3;5,5;6;6
;;Malawi;Population;Persons;6,564;6,748;6,923;7,116;7,368;7,7;8,133;8,647;9,185;9,667;10,039;10,275;10,4;10,461;10,533;10,666;10,876;11,148;11,458;11,774;12,07;12,343;12,813;13,098;13,385;13,654;14,043;14,439;14,846;15,274;15,714;16,166;16,632;17,111;17,604;18,111;18,632;19,169;19,721;20,289;20,873
;;Malaysia;Gross domestic product, constant prices;Percent change;7,444;6,942;5,941;6,25;7,762;-0,876;1,153;5,389;9,938;9,06;9,007;9,547;8,886;9,896;9,211;9,83;10,002;7,327;-7,359;6,131;8,671;0,518;5,391;5,789;6,783;4,976;5,584;6,299;4,832;-1,514;7,528;5,294;5,473;4,713;5,993;4,7;4,5;5;5;5;5
;;Malaysia;Population;Persons;13,885;14,229;14,592;14,955;15,328;15,823;16,257;16,681;17,094;17,508;18,267;18,547;19,068;19,602;20,142;20,682;21,223;21,769;22,334;22,91;23,495;24,123;24,727;25,32;25,905;26,477;26,832;27,1;27,6;28,082;28,589;29,062;29,518;29,948;30,6;31,12;31,649;32,187;32,734;33,291;33,857
;;Maldives;Gross domestic product, constant prices;Percent change;18,803;7,886;7,466;4,414;17,379;13,801;8,596;8,866;8,722;9,292;-4,049;6,896;6,467;5,417;7,505;7,377;9,084;10,405;9,789;7,23;4,77;11,927;5,381;12,887;11,898;-8,022;19,577;10,845;13,318;-1,754;6,592;6,64;1,625;-4,77;6,141;2,909;3,067;3,977;4,367;4,582;4,693
;;Maldives;Population;Persons;0,152;0,158;0,163;0,169;0,175;0,182;0,189;0,193;0,198;0,204;0,212;0,222;0,228;0,234;0,24;0,245;0,25;0,255;0,261;0,266;0,27;0,276;0,281;0,285;0,289;0,294;0,299;0,305;0,31;0,315;0,32;0,325;0,331;0,336;0,342;0,348;0,354;0,36;0,366;0,372;0,378
;;Mali;Gross domestic product, constant prices;Percent change;3,299;-3,203;-3,374;4,365;3,05;2,109;8,594;2,001;-0,324;11,938;7,015;9,052;-3,235;3,833;3,562;2,354;7,382;5,334;4,422;5,698;-3,275;11,855;4,307;7,616;2,259;6,135;5,252;4,298;4,979;4,457;5,819;2,733;0,024;1,694;7,224;4,974;5,046;4,989;4,495;4,534;4,523
;;Mali;Population;Persons;6,735;6,866;7,004;7,146;7,281;7,405;7,515;7,614;7,713;7,826;7,964;8,13;8,323;8,535;8,759;8,989;9,222;9,462;9,712;9,977;10,261;10,563;10,883;11,22;11,573;11,941;12,326;12,726;13,138;13,559;13,986;14,417;14,854;15,302;15,791;16,295;16,817;17,355;17,91;18,483;19,074
;;Malta;Gross domestic product, constant prices;Percent change;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0,755;2,742;2,42;0,56;3,905;1,945;3,854;3,263;-2,477;3,548;2,1;2,471;2,356;3,503;3,443;3,471;2,955;2,843;2,697;2,578
